index,sub_index,title,sub_title,objective,guidance,suggested_evidence,document
5.1,,Leadership and commitment,,"g) promoting continual improvement; and
","Establish a process for continual improvement of the ISMS based on risk assessments, audits, and feedback.
Identify and implement opportunities for improvement based on lessons learned and emerging threats.
Review and update the ISMS periodically to maintain its effectiveness.","There is a process of incident management in place with an operating incident and corrective log.

There is a process of internal audit in place with internal audits evidenced. 

There is a process of continual improvement in place that includes internal audits and incident management to continually improve the effectiveness of the ISMS in line with the objectives. 

A Communication Plan is in place and sets out the communications for the year across media and approaches. It includes what will be communicated, by whom, when, to who and how and records evidence of past communications. 

A training tool is in operation with all staff enrolled. Basic modules on information security and data protection have been completed a plan of future training was evidenced. 

As well as operational updates an annual review of the ISMS including risks and objectives in place and evidenced.",
5.1,,Leadership and commitment,,h) supporting other relevant management roles to demonstrate their leadership as it applies to their areas of responsibility.,"Provide guidance and support to other managers to integrate information security into their areas of responsibility.
Ensure all managers understand their roles and responsibilities in information security.
Hold managers accountable for the information security performance within their areas.","Roles and responsibilities are documented in Information Security Roles Assigned and Responsibilities document and roles assignment is evidenced along with appropriate deputies.

There is an Information Security Management System Document Tracker in place that is used to assign owners to the ISMS documents and it was evidenced as being up to date. 

There is an ISMS Annex A Controls - Accountability Matrix - ISO 27002 2022 and 2013 in place that sets out the control requirements and is evidenced as assigning ownership and responsibility to controls. 

There is an Security Operations Manual in place with documented processes that are evidenced as documented, reviewed, approved and operational.

A Communication Plan is in place and sets out the communications for the year across media and approaches. It includes what will be communicated, by whom, when, to who and how and records evidence of past communications. 

A training tool is in operation with all staff enrolled. Basic modules on information security and data protection have been completed a plan of future training was evidenced. 

Contracts are seen to be in place both with appropriate suppliers and staff that include clauses for information security. 

There is a competency matrix in place that sets out the required competencies for information security and those allocated roles in the Information Security Management System have been included. It tracks the level of competence and as evidenced as being used to also identify gaps and training requirements. ",
5.2,,Policy,Top management shall establish an information security policy that:,"
a) is appropriate to the purpose of the organisation; 
","Conduct a risk assessment to identify the organization's information security risks.
Analyze the organization's business context, industry, and legal environment.
Identify the organization's information assets and their criticality.
Consider the organization's overall goals and objectives.","Document: 1 Organisation Overview describes the business and its objectives and mission and values. 


Document: The Information Security Management System sets out the information security objectives as a working document and the Information Security Objectives are documented and communicated in the information security policy. These take into account the Organisation Overview documented findings including the business objectives.

A risk management process is in place and risk management is documented. There is a risk appetite documented and this is evidenced as being a driver to the information security policy. In addition there is an active risk register with risk management. 

The information security policy and subordinate policies are seen to have taken into account both the scope of the ISMS and the documented statement of applicability.",
5.2,,Policy,,"
b) includes information security objectives or provides the framework for setting information security objectives;
","Define clear and measurable information security objectives aligned with the organization's overall goals.
Alternatively, establish a framework for setting objectives with defined criteria and processes.","Document: 1 Organisation Overview describes the business and its objectives and mission and values. 


Document: The Information Security Management System sets out the information security objectives as a working document and the Information Security Objectives are documented and communicated in the information security policy. These take into account the Organisation Overview documented findings including the business objectives.",
5.2,,Policy,,"c) includes a commitment to satisfy applicable requirements related to information security; 
","Identify all relevant legal, regulatory, and contractual requirements related to information security.
Define how the organization will comply with these requirements.","Document: Information Security Policy is the main information security policy and is part of a framework of policies. It includes the Information Security Objectives. It includes the requirements to meet legal and regulatory obligations. It includes a commitment to continual improvement. 

Document:  Legal and Contractual Requirements Register sets out the legal, regulatory and contractual obligations 

Document: Continual Improvement Policy sets out the continual improvement policy and there is a continual improvement process.

The information security management system and associated documents are available electronically to the organisation based on the persons role and business need.

Document: Communication Plan sets out the communications for the year across media and approaches

Documents are available to interested parties based on Non Disclosure Agreements and Contracts being place.
",
5.2,,Policy,,d) includes a commitment to continual improvement of the information security management system.,"Define a continuous improvement process for the ISMS.
Establish metrics to measure the effectiveness of the ISMS.","The Information Security Policy includes a commitment to continual improvement. 

There is a continual improvement policy and a continual improvement process document and evidenced as in operation. 
",
5.2,,Policy,The information security policy shall:,"
e) be available as documented information;
","Develop a documented information security policy.
Maintain the policy in a readily accessible format.",The information security management system and associated documents are available electronically to the organisation based on the persons role and business need.,
5.2,,Policy,,"f ) be communicated within the organisation; 
","Communicate the information security policy to all relevant employees.
Conduct awareness training on the policy's content and requirements.","A Communication Plan is in place and sets out the communications for the year across media and approaches. It includes what will be communicated, by whom, when, to who and how and records evidence of past communications. 

The Information Security Policy and location of the policy are evidenced as being communicated.",
5.2,,Policy,,"g) be available to interested parties, as appropriate.","Identify relevant interested parties (e.g., customers, suppliers, regulators).
Determine the appropriate level of access to the policy for each interested party.","The information security policy and associated documents are made available to interested parties. 

Where the interested parties are outside of the organisation controls non disclosure agreements and contracts are in place as appropriate.

Document classification is in place and appropriate policy and procedures are in place for the handling of information based on the classification ( Information Classification and Handling Policy ). 

Access control policy and procedures are in place and evidenced.
",
5.3,,"Organisational roles, responsibilities and authorities",,"Top management shall ensure that the responsibilities and authorities for roles relevant to information security are assigned and communicated within the organization.

Top management shall assign the responsibility and authority for:

a) ensuring that the information security management system conforms to the requirements of this document
","Define the role: Clearly define a role responsible for overseeing ISMS compliance with ISO 27001:2022 requirements. This could be a dedicated Information Security Officer (ISO) or someone with combined responsibilities.
Assign authority: Grant the designated role appropriate authority to implement, monitor, and enforce ISMS controls and processes.
Document responsibilities: Clearly document the responsibilities of the assigned role in detail, including specific tasks and procedures for ensuring compliance.
Provide resources: Allocate necessary resources (e.g., budget, staff, training) to the role to effectively fulfill their responsibilities.
Communication: Communicate the role's responsibilities and authority to all relevant personnel within the organization.","Document: Information Security Roles Assigned and Responsibilities sets out the roles and responsibilities with allocated resource. 

A Management Review Team is in place with representatives from across the business. 

Document: Competency Matrix captures the core competencies and training requirements of staff in relation to information security

 Management Review Team is documented in the document:  Information Security Roles Assigned and Responsibilities and has responsibility for overseeing the Information Security Management System. This group reports to the board and has board representation and certain board designated authority for decision making. The Management Review Team meeting at least quarterly and follow the agenda as defined in the standard.",
5.3,,"Organisational roles, responsibilities and authorities",,b) reporting on the performance of the information security management system to top management.,"Define reporting requirements: Determine the frequency, format, and content of reports on ISMS performance to be submitted to top management.
Identify reporting channels: Establish clear reporting channels from the responsible individual/department to top management.
Develop reporting metrics: Define key performance indicators (KPIs) and metrics to measure the effectiveness of the ISMS in achieving its objectives.
Collect data and analyze: Regularly gather data related to ISMS performance and analyze it to identify areas for improvement.
Prepare reports: Compile meaningful reports that summarize ISMS performance, highlight key findings, and propose recommendations for improvement.",Management Review Team is documented in the document:  Information Security Roles Assigned and Responsibilities and has responsibility for overseeing the Information Security Management System. This group reports to the board and has board representation and certain board designated authority for decision making. The Management Review Team meeting at least quarterly and follow the agenda as defined in the standard.,
6,,Planning,,,,,
6.1,,Actions to address risks and opportunities,,,,,
6.1,6.1.1,General,,"When planning for the information security management system, the organisation shall consider the issues referred to in 4.1 and the requirements referred to in 4.2 and determine the risks and opportunities that need to be addressed to:

a) ensure the information security management system can achieve its intended outcome(s); ","Define the intended outcomes of your ISMS (e.g., improved data security, enhanced compliance, reduced risk).
Align ISMS objectives with business goals and strategic plans.
Conduct risk assessments and identify risks that could impact achieving ISMS outcomes.
Develop risk treatment plans with actions to mitigate those risks.
Monitor key performance indicators (KPIs) aligned with ISMS outcomes.","4.1 and 4.2 are addressed in Context of Organisation which documents internal and external issues and interested parities and appropriate issues where required are on the risk registered with reference links. 


Document: Risk Management Policy and risk management process are in place.

Document: ISMS Risk Register captures, manages and reports risks. These are reported to and overseen by the Management Review Team. 

Risk Management is part of the continual improvement policy and process, document: Continual Improvement Policy

Continual improvement is managed, tracked and reported using document: Incident and Corrective Action Log",
6.1,6.1.1,General,,"b) prevent, or reduce, undesired effects; 
","Identify potential undesired effects of information security incidents (e.g., data breaches, reputational damage).
Conduct risk assessments to identify vulnerabilities that could lead to these effects.
Implement preventive controls to mitigate those risks (e.g., access controls, security awareness training).
Develop incident response plans to address and minimize the impact of incidents.
Conduct regular testing and evaluation of controls to ensure effectiveness.","There is a Risk Management Policy and Risk Management Process. 

The ISMS Risk Register captures, manages and reports risks. These are reported to and overseen by the Management Review Team. ",
6.1,6.1.1,General,,"c) achieve continual improvement.
","Establish a process for continual improvement of the ISMS.
Define metrics to measure ISMS performance against defined objectives.
Conduct regular internal audits and management reviews to identify areas for improvement.
Implement corrective actions based on audit findings and identified improvement opportunities.
Encourage a culture of continuous learning and improvement within the organization.","

There is a Continual Improvement Policy and a Continual Improvement Process in place and evidenced.

Continual improvement is managed, tracked and reported using document: Incident and Corrective Action Log

Continual Improvement is overseen by the management review team and forms part of the management review team structured agenda. 

",
6.1,6.1.1,General,The organisation shall plan:,"
d) actions to address these risks and opportunities; and","Based on risk assessments, identify and prioritize risk treatment actions and potential opportunities to exploit.
Develop and document risk treatment plans, including controls, responsible parties, and timelines.
Define actions to capitalize on identified opportunities, considering resource availability and alignment with ISMS objectives.","There is a risk management policy and risk management process in place and evidenced as operational. 

There is an annual risk review with risk review meeting minutes.

Risks are also reported to and overseen by the Management Review Team. 

Document: ISMS Risk Register captures, manages and reports risks. These are reported to and overseen by the Management Review Team. 

Risk Management is part of the continual improvement policy and process, document: Continual Improvement Policy

Continual improvement is managed, tracked and reported using document: Incident and Corrective Action Log",
6.1,6.1.1,General,,"e) how to
 1) integrate and implement these actions into its information security management system processes; and
 2) evaluate the effectiveness of these actions.","Integrate risk treatment and opportunity exploitation actions into relevant ISMS processes (e.g., risk management, asset management, incident response).
Assign ownership and accountability for implementing actions.
Allocate resources and budget for action implementation.
Communicate and train employees on their roles and responsibilities in implementing actions.","There is a risk management policy and risk management process in place and evidenced as operational. 

There is an annual risk review with risk review meeting minutes.

Risks are also reported to and overseen by the Management Review Team. 

Document: ISMS Risk Register captures, manages and reports risks. These are reported to and overseen by the Management Review Team. 

Risk Management is part of the continual improvement policy and process, document: Continual Improvement Policy

Continual improvement is managed, tracked and reported using document: Incident and Corrective Action Log",
6.1,6.1.2,Information security risk assessment,The organisation shall define and apply an information security risk assessment process that:,,,"There is a risk management process in place and documented. 

There is a Risk Management Policy in place

There is an ISMS Risk Register in place and used for managing risks",
6.1,6.1.2,Information security risk assessment,,"
a) establishes and maintains information security risk criteria that include:
 1) the risk acceptance criteria; and
 2) criteria for performing information security risk assessments;
","Determine acceptable levels of risk for confidentiality, integrity, and availability based on organizational objectives and risk tolerance.
Document criteria for accepting, mitigating, transferring, or rejecting risks.
Specify the frequency and scope of risk assessments (e.g., annual, system-specific).
Establish methodologies for identifying, analyzing, and evaluating risks.
Define roles and responsibilities for conducting risk assessments.","There is a risk management process in place and documented that includes risk criteria. 

There is an ISMS Risk Register in place. 

Both the Risk Register and the Risk Process document the risk acceptance criteria. ",
6.1,6.1.2,Information security risk assessment,,"b) ensures that repeated information security risk assessments produce consistent, valid and comparable results;","Implement a standardized risk assessment methodology across the organization.
Train personnel involved in risk assessments on the methodology.
Utilize risk assessment tools and templates to ensure consistency.
Conduct internal audits to verify the consistency of risk assessments.","There is a risk management process in place and documented. 

Document: Risk Management Policy

Document: ISMS Risk Register ",
6.1,6.1.2,Information security risk assessment,,"c) identifies the information security risks:
 1) apply the information security risk assessment process to identify risks associated with the loss of confidentiality, integrity and availability for information within the scope of the information security management system; and
 2) identify the risk owners","Identify information assets within the ISMS scope.
Classify information assets based on confidentiality, integrity, and availability requirements.
Apply the risk assessment methodology to identify threats and vulnerabilities associated with each asset.
Assign risk owners for identified risks.","Risk Identification is part of the risk management process. 

There is an annual risk review meeting that is documented and minuted and includes risk identification. 

Risk identification is part of the continual improvement process that encompasses the internal audit process, incident management process that can generate risks. 

Risk identification is included in the risk management oversight of the management review team and part of the structured agenda and minuted as part of the meetings. 

The risk register is in place and risk owners are assigned. ",
6.1,6.1.2,Information security risk assessment,,"d) analyses the information security risks:
 1) assess the potential consequences that would result if the risks identified in 6.1.2c) 1) were to materialise;
 2) assess the realistic likelihood of the occurrence of the risks identified in 6.1.2 c) 1); and
 3) determine the levels of risk;
","Assess the potential consequences of each identified risk (confidentiality, integrity, availability impact).
Assess the likelihood of each risk occurring based on historical data and industry trends.
Calculate the overall risk level based on consequence and likelihood (e.g., risk matrix).","There is a risk management process in place and documented. 

Document: Risk Management Policy

Document: ISMS Risk Register is used for the management of risk that includes the analysis of risk and the impact and likelihood of risks. In addition it identifies the level of risk and scores the risk. The risk register and risk process includes rescoring risk after risk treatment and the creation of a residual risk score. ",
6.1,6.1.2,Information security risk assessment,,"e) evaluates the information security risks:
 1) compare the results of risk analysis with the risk criteria established in 6.1.2 a); and
 2) prioritise the analysed risks for risk treatment.","Compare risk levels with established risk acceptance criteria.
Prioritize risks based on their severity and potential impact.
Identify risks requiring treatment based on prioritization and risk acceptance criteria.","There is a risk management process in place and documented. 

Document: Risk Management Policy

Document: ISMS Risk Register is used for the management of risk that includes the analysis of risk and the impact and likelihood of risks. In addition it identifies the level of risk and scores the risk. The risk register and risk process includes rescoring risk after risk treatment and the creation of a residual risk score. ",
6.1,6.1.3,Information security risk treatment,The organisation shall define and apply an information security risk treatment process to:,,,"There is a risk management process in place and documented. 

There is a Risk Management Policy in place

There is an ISMS Risk Register in place and used for managing risks",
6.1,6.1.3,Information security risk treatment,,"a) select appropriate information security risk treatment options, taking account of the risk assessment results;
","Use risk assessment results to identify appropriate treatment options (e.g., accept, mitigate, transfer, avoid).
Consider organizational risk tolerance and resource constraints.
Document the rationale for each chosen option.","There is a risk management process in place and documented. 

Document: Risk Management Policy

Document: ISMS Risk Register 

All controls required are assessed and document in the document: Statement of Applicability

Document: Statement of Applicability describes the applicability of controls and why they are / are not applicable. 

A Risk Treatment Plan guidance is documented in the risk register 

Residual risk acceptance is recorded in the risk register and via Management Review Team meetings and standing agenda with minutes 

Risk Owners and Treatment Owners are identified in the risk register
",
6.1,6.1.3,Information security risk treatment,,"b) determine all controls that are necessary to implement the information security risk treatment option(s) chosen;
","Identify controls that address the chosen treatment options for each risk.
Consider controls from Annex A and other relevant sources.
Document the selected controls and their mapping to risks.","There is a risk management process in place and documented. 

Document: Risk Management Policy

Document: ISMS Risk Register 

All controls required are assessed and document in the document: Statement of Applicability

Document: Statement of Applicability describes the applicability of controls and why they are / are not applicable. 

A Risk Treatment Plan guidance is documented in the risk register 

Residual risk acceptance is recorded in the risk register and via Management Review Team meetings and standing agenda with minutes 

Risk Owners and Treatment Owners are identified in the risk register
",
6.1,6.1.3,Information security risk treatment,,"c) compare the controls determined in 6.1.3 b) above with those in Annex A and verify that no necessary controls have been omitted;
","Review Annex A controls and identify any missing necessary controls.
Document the comparison process and justification for omitting any controls.","There is a risk management process in place and documented. 

Document: Risk Management Policy

Document: ISMS Risk Register 

All controls required are assessed and document in the document: Statement of Applicability

Document: Statement of Applicability describes the applicability of controls and why they are / are not applicable. 

A Risk Treatment Plan guidance is documented in the risk register 

Residual risk acceptance is recorded in the risk register and via Management Review Team meetings and standing agenda with minutes 

Risk Owners and Treatment Owners are identified in the risk register
",
6.1,6.1.3,Information security risk treatment,,"d) produce a Statement of Applicability that contains
- the necessary controls (see 6.1.3 b) and c));
- justification for their inclusion;
- whether the necessary controls are implemented or not; and
- the justification for excluding any of the Annex A controls.","List of necessary controls (from b & c)
Justification for each control
Implementation status (implemented/not implemented)
Justification for excluding any controls (from c)","There is a risk management process in place and documented. 

Document: Risk Management Policy

Document: ISMS Risk Register 

All controls required are assessed and document in the document: Statement of Applicability

Document: Statement of Applicability describes the applicability of controls and why they are / are not applicable. 

A Risk Treatment Plan guidance is documented in the risk register 

Residual risk acceptance is recorded in the risk register and via Management Review Team meetings and standing agenda with minutes 

Risk Owners and Treatment Owners are identified in the risk register
",
6.1,6.1.3,Information security risk treatment,,"e) formulate an information security risk treatment plan; and
","Control implementation actions
Responsibilities and timelines
Monitoring and review procedures","There is a risk management process in place and documented. 

Document: Risk Management Policy

Document: ISMS Risk Register 

All controls required are assessed and document in the document: Statement of Applicability

Document: Statement of Applicability describes the applicability of controls and why they are / are not applicable. 

A Risk Treatment Plan guidance is documented in the risk register 

Residual risk acceptance is recorded in the risk register and via Management Review Team meetings and standing agenda with minutes 

Risk Owners and Treatment Owners are identified in the risk register
",
6.1,6.1.3,Information security risk treatment,,f ) obtain risk owners’ approval of the information security risk treatment plan and acceptance of the residual information security risks.,"Present the risk treatment plan to risk owners for approval.
Obtain acceptance of residual risks.
Document approval and acceptance.","There is a risk management process in place and documented. 

Document: Risk Management Policy

Document: ISMS Risk Register 

All controls required are assessed and document in the document: Statement of Applicability

Document: Statement of Applicability describes the applicability of controls and why they are / are not applicable. 

A Risk Treatment Plan guidance is documented in the risk register 

Residual risk acceptance and risk approval is recorded in the risk register and via Management Review Team meetings and standing agenda with minutes 

Risk Owners and Treatment Owners are identified in the risk register
",
6.1,6.1.3,Information security risk treatment,,"The organization shall retain documented information about the information security risk treatment
process.","Maintain all relevant documentation related to the risk treatment process.
Ensure document control and accessibility.","There is a risk management process in place and documented. 

Document: Risk Management Policy

Document: ISMS Risk Register 

A Risk Treatment Plan is documented in the risk register 

Residual risk acceptance and risk approval is recorded in the risk register and via Management Review Team meetings and standing agenda with minutes 

Risk Owners and Treatment Owners are identified in the risk register
",
6.2,,Information security objectives and planning to achieve them,,,,,
6.2,,General,,The organisation shall establish information security objectives at relevant functions and levels. ,,"Document: The Information Security Management System describes the information security objectives and the process and roles and responsibilities. It describes for the framework for setting Information Security Objectives. 

The Information Security Objectives.xls sets out the Objectives and includes columns for what will be done, what resources will be required, who will be responsible, when it will be completed and how it will be evaluated.

The Information Security Policy sets out the information security objectives in policy form. 

Document: Communication Plan sets out the communications for the year across media and approaches

Is updated as part of the Continual Improvement policy and process and evidence as signed of by the Management Review Team ",
6.2,,General,,"The information security objectives shall:
a) be consistent with the information security policy","Review the information security policy and identify key security goals and principles.
Develop information security objectives that align with and support these goals and principles.
Map objectives to specific policy sections for clarity and traceability.","Document: The Information Security Management System describes the information security objectives and the process and roles and responsibilities. It describes for the framework for setting Information Security Objectives. 

The Information Security Objectives.xls sets out the Objectives and includes columns for what will be done, what resources will be required, who will be responsible, when it will be completed and how it will be evaluated.

The Information Security Policy sets out the information security objectives in policy form. 

Document: Communication Plan sets out the communications for the year across media and approaches

Is updated as part of the Continual Improvement policy and process and evidence as signed of by the Management Review Team ",
